26-01-2023 19:03:21.964;StatusBitLog;ONOFF bit changed to 1
26-01-2023 19:03:21.966;StatusBitLog;Status bitmask: 100
26-01-2023 19:03:21.968;StatusBitLog;MRST = 0
26-01-2023 19:03:21.970;StatusBitLog;BTRC = 0
26-01-2023 19:03:21.972;StatusBitLog;ONOFF = 1
26-01-2023 19:03:21.973;StatusBitLog;DAC = 0
26-01-2023 19:03:21.975;StatusBitLog;XPS = 0
26-01-2023 19:03:21.977;StatusBitLog;SPS = 0
26-01-2023 19:03:21.979;StatusBitLog;INET = 0
26-01-2023 19:03:21.980;StatusBitLog;DMBE = 0
26-01-2023 19:03:21.982;StatusBitLog;RTM = 0
26-01-2023 19:03:21.983;StatusBitLog;LOG = 0
26-01-2023 19:03:21.985;StatusBitLog;NTP = 0
26-01-2023 19:03:21.987;StatusBitLog;BAT = 0
26-01-2023 19:03:21.989;StatusBitLog;DATA = 0
26-01-2023 19:03:21.991;StatusBitLog;CMODE = 0
26-01-2023 19:03:21.992;StatusBitLog;SIM = 0
26-01-2023 19:03:21.994;StatusBitLog;SYNC = 0
26-01-2023 19:03:21.995;StatusBitLog;RSU = 0
26-01-2023 19:03:21.996;StatusBitLog;DAC_JACK = 0
26-01-2023 19:03:21.998;StatusBitLog;PRF_JACK = 0
26-01-2023 19:03:21.999;StatusBitLog;DAC_NCSD = 0
26-01-2023 19:03:22.000;StatusBitLog;PRF_NCSD = 0
26-01-2023 19:03:22.002;StatusBitLog;AWM = 0
26-01-2023 19:03:22.003;StatusBitLog;BAD_MNET = 0
26-01-2023 19:03:22.005;StatusBitLog;LINEIN_JACK = 0
26-01-2023 19:03:22.006;StatusBitLog;DAC_SIGNAL = 0
26-01-2023 19:03:45.044;StatusBitLog;ONOFF bit changed to 0
26-01-2023 19:03:45.046;StatusBitLog;Status bitmask: 0
26-01-2023 19:03:45.048;StatusBitLog;MRST = 0
26-01-2023 19:03:45.050;StatusBitLog;BTRC = 0
26-01-2023 19:03:45.051;StatusBitLog;ONOFF = 0
26-01-2023 19:03:45.053;StatusBitLog;DAC = 0
26-01-2023 19:03:45.055;StatusBitLog;XPS = 0
26-01-2023 19:03:45.056;StatusBitLog;SPS = 0
26-01-2023 19:03:45.058;StatusBitLog;INET = 0
26-01-2023 19:03:45.059;StatusBitLog;DMBE = 0
26-01-2023 19:03:45.061;StatusBitLog;RTM = 0
26-01-2023 19:03:45.062;StatusBitLog;LOG = 0
26-01-2023 19:03:45.064;StatusBitLog;NTP = 0
26-01-2023 19:03:45.065;StatusBitLog;BAT = 0
26-01-2023 19:03:45.067;StatusBitLog;DATA = 0
26-01-2023 19:03:45.069;StatusBitLog;CMODE = 0
26-01-2023 19:03:45.071;StatusBitLog;SIM = 0
26-01-2023 19:03:45.072;StatusBitLog;SYNC = 0
26-01-2023 19:03:45.074;StatusBitLog;RSU = 0
26-01-2023 19:03:45.076;StatusBitLog;DAC_JACK = 0
